ds,1INCH,APE,BNB,BTC,DOGE,DYDX,EGLD,ETH,FET,FLOW,GT,LEO,LINK,LTC,OKB,RAY,SOL,SUN,TRX,XMR,XRP,YFI,y,unique_id,day,week,month,months_since_start,is_holiday,days_to_holiday
2022-06-21,1.504818466327024,0.8740199768013184,-1.000690274725112,-0.9165237516740544,-0.5763612488390296,-0.9518508571354728,1.191185807006052,-1.3546891244228774,-0.8383567118901311,0.8634503532480726,-0.6649058637574463,0.8374282277276648,-0.7856851647141027,-1.4426174864373515,-1.924055888475594,-0.2729852099057785,-0.5997570718129422,-0.5095124362273395,-0.7935636608403898,-2.0797910876094488,-0.8239347825510416,-1.220194885810022,1834.5999755859375,XAU,21,25,6,1,0,13
2022-06-22,1.5238908288248236,0.7123476000678051,-1.038976099298313,-0.9635614315385304,-0.6379478862602839,-0.8189845537916128,1.141721428990001,-1.4478269173528675,-0.8371422562823194,0.8637262298465173,-0.7613438843499855,1.0158326177922865,-0.8508016861486414,-1.5039287634514833,-1.9146857105251025,-0.3031247326005788,-0.6229940170119567,-0.5899140219237153,-0.8374530872852334,-2.5321683882560926,-0.8460205341979927,-1.2211230417009813,1834.300048828125,XAU,22,25,6,1,0,12
2022-06-23,1.5301052091690186,0.8336956103921674,-0.9662110450574302,-0.9303314137874168,-0.6141674053006151,-0.810989853812092,1.1813502260491926,-1.3645605675725228,-0.8380782959676966,1.0658334258671538,-0.6819328234272121,1.0397532454216236,-0.7877804648640617,-1.3161604052384794,-1.9004959929223708,-0.2674273334909234,-0.5837061857252425,-0.5635813609217533,-0.8505701225070795,-2.0979340569154274,-0.8106281274830222,-1.239796800619762,1825.699951171875,XAU,23,25,6,1,0,11
2022-06-24,1.959948734478204,0.9373853080520366,-0.8683801817635974,-0.899704040430421,-0.5467307129954673,-0.662835439981078,1.463416177313872,-1.228686165344066,-0.8278890763294459,1.2869761071804795,-0.6626081257808305,1.055288605765622,-0.6861336244709868,-1.2515839494529528,-1.8191636757008824,-0.2269985011787768,-0.5118207239770572,-0.4873586832356992,-0.7623527964853306,-1.6241379730603362,-0.6534901261643024,0.1803431798262709,1826.5,XAU,24,25,6,1,0,10
2022-06-25,1.7588201176526355,1.0555037270701542,-0.884000505022106,-0.9080042340693395,-0.5246132210461272,-0.734848518217662,1.3039901511094814,-1.2399627804547724,-0.8313263975231052,1.2729064006597963,-0.6590859579257938,1.0327974168540137,-0.7462206745419856,-1.252638044280413,-1.8267273881450985,-0.24618719319267562,-0.5298078926301174,-0.5182049230649337,-0.7535032361156407,-1.744020162606439,-0.6763215448599567,-0.0491100694382004,1824.6333414713542,XAU,25,25,6,1,0,9
2022-06-26,1.5576915008270666,1.1736221460882716,-0.8996208282806146,-0.916304427708258,-0.502495729096787,-0.8068615964542458,1.1445641249050906,-1.2512393955654788,-0.8347637187167645,1.2588366941391134,-0.6555637900707572,1.0103062279424053,-0.8063077246129843,-1.253692139107873,-1.8342911005893143,-0.26537588520657446,-0.5477950612831775,-0.5490511628941681,-0.7446536757459508,-1.863902352152542,-0.6991529635556111,-0.2785633187026717,1822.7666829427083,XAU,26,25,6,1,0,8
2022-06-27,1.356562884001498,1.2917405651063891,-0.9152411515391232,-0.9246046213471766,-0.4803782371474469,-0.8788746746908298,0.9851380987007,-1.2625160106761852,-0.8382010399104238,1.2447669876184302,-0.6520416222157205,0.9878150390307971,-0.8663947746839831,-1.2547462339353332,-1.8418548130335304,-0.2845645772204733,-0.5657822299362376,-0.5798974027234026,-0.7358041153762609,-1.9837845416986448,-0.7219843822512654,-0.508016567967143,1820.9000244140625,XAU,27,26,6,1,0,7
2022-06-28,1.9578026271521312,1.2445231903868956,-0.9233559323756184,-0.9448993989822068,-0.547315247085397,-0.8662234126179741,0.7885807343806068,-1.30556977477464,-0.8451851300954558,1.3195847211166511,-0.6847457492909617,0.9566138421920942,-0.8714099769784015,-1.427375412424664,-1.867207384280005,-0.3041903129287153,-0.6026311845745301,-0.5772413028952272,-0.7418312630051089,-2.112234244528126,-0.7640383559151485,-0.7800768851179473,1817.5,XAU,28,26,6,1,0,6
2022-06-29,1.6658822659985932,1.05601253498739,-1.0015422923573942,-0.9496465443752232,-0.5082834546287976,-0.773597099171035,0.5891072194706166,-1.375793133405453,-0.8437164861046136,1.065244889123805,-0.7371867243222907,1.0974584976736323,-0.9141225578847744,-1.4204128988680134,-1.8514801025249847,-0.3142377367278088,-0.6324230965207681,-0.6077310455498834,-0.7933952078856993,-1.9799417600053648,-0.8121482995325885,-0.8866365574734372,1813.699951171875,XAU,29,26,6,1,0,5
2022-06-30,1.3676977596932989,0.8305035101956136,-1.0694700852020935,-1.0214678323746964,-0.6140998381880695,-1.008921794357701,0.3888550850076559,-1.4974616435510864,-0.8540098440061598,0.7896993425971714,-0.7845943136963252,0.9715316154227536,-0.9703644693293246,-1.5765858507342856,-1.8704893597799563,-0.3480916727074463,-0.6688228253136853,-0.6662458313979056,-0.8453629444076802,-2.7663890822825823,-0.8602788416872853,-1.1850724834196624,1804.0999755859375,XAU,30,26,6,1,0,4
